ID_x;VAT;Country_x
10144;80749861       ;DD
10145;AH50389872     ;AA
10146;7759310133     ;DD
10147;J875220638     ;JJ
10148;07040498/7     ;MM
10149;737993415729358;SS
10150;NC70318055954  ;VV
10151;BW927307971    ;BB
10152;63214226427    ;NN
10153;HX10979185250  ;VV
10154;SL175190161    ;BB
10155;RGK60006067    ;RR
10156;VD244274261    ;BB
10157;RK706651611    ;TT
10158;04160820505    ;NN
10159;ZY81608400     ;AA
10160;HE966509704    ;BB
10161;PB859977937    ;BB
10162;DS75347790404  ;WW
10163;V601781751     ;JJ
10164;RE156620397    ;TT
10165;191022729588886;SS
10166;EQA38185764    ;GG
10167;MG18342579247  ;VV
10168;M450573238     ;JJ
10169;WB01423389670  ;VV
10170;IJR649764151   ;II
10171;640871730489325;XX
10172;9824800416     ;DD
10173;Q799196072     ;JJ
10174;HD182126666    ;TT
10175;58600682796    ;CC
10176;91996234916805 ;QQ
10177;S070841894     ;JJ
10178;07602790#9     ;MM
10179;158880381532292;SS
10180;SG959408120    ;TT
10181;IB036813976    ;TT
10182;WJ573929654    ;BB
10183;BQJ86603445    ;RR
10184;COK593343328   ;II
10185;41095243891    ;NN
10186;VH27961281415  ;VV
10187;WL340916165    ;BB
10188;NJ1295201284   ;ZZ
10189;HSK3572441R    ;RR
10190;TO868161670    ;LL
10191;V807341964     ;JJ
10192;474090168537169;XX
10193;2448140        ;PP
10194;7938259229     ;DD
10195;B571373052     ;JJ
10196;ZX23050381648  ;VV
10197;65419007507    ;NN
10198;66587578VU2OKOG;XX
10199;LH735431896    ;OO
10200;F346330028     ;JJ
10201;XB067354410    ;TT
10202;13654533030065 ;QQ
10203;CK070677817    ;TT
10204;IK4153342R     ;KK
10205;ZB373717250    ;BB
10206;Z718760628     ;JJ
10207;WZ301796096    ;TT
10208;11245782840581 ;VV
10209;UJZ28566071    ;RR
10210;7469202044     ;DD
10211;WN93484493359  ;VV
10212;LD948461495    ;TT
10213;WQ122072872    ;BB
10214;LU085512057    ;TT
10215;R245417250     ;JJ
10216;38525110WO4Z5QR;XX
10217;44760806145    ;TT
10218;AH862474686    ;TT
10219;OZ413632009    ;BB
10220;8247921114     ;DD
10221;Q255664727     ;JJ
10222;WK05815850809  ;VV
10223;PV580452268    ;BB
10224;GP194786902    ;LL
10225;Z116748412     ;JJ
10226;PRVXWFXF       ;JJ
10227;1264461995     ;DD
10228;62385559447409 ;QQ
10229;11785509       ;PP
10230;UR761279578    ;TT
10231;F8517214/H     ;RR
10232;IIX587751839   ;II
10233;LP55822830L    ;RR
10234;FN506544447    ;BB
10235;HZ706692520    ;BB
10236;UL835908949    ;BB
10237;SO202213857    ;BB
10238;21229436-4     ;MM
10239;NZ03744004818  ;VV
10240;LL47548761077  ;VV
10241;UPT48256405    ;RR
10242;D705189809     ;JJ
10243;83190097265    ;TT
10244;576074838799133;XX
10245;51739933(P     ;MM
10246;289072975150120;XX
10247;741947287790340;XX
10248;QO583030018    ;BB
10249;79038057&5     ;MM
10250;DD31639051     ;AA
10251;NE925032248    ;TT
10252;AC324244194    ;TT
10253;HX23858894669  ;VV
10254;189029300292538;XX
10255;71994628775    ;CC
10256;02516530-8     ;MM
10257;SQL58474775    ;RR
10258;PN953592784    ;BB
10259;R730149023     ;JJ
10260;1557629951     ;DD
10261;70832016       ;DD
10262;RW77440373     ;FF
10263;3444393279719  ;QQ
10264;96289562191    ;NN
10265;AS94167243257  ;VV
10266;261498623723272;XX
10267;73590456562512 ;VV
10268;DV11726533     ;FF
10269;QF675548402    ;BB
10270;87486328RQ76B6Z;XX
10271;44825392614802 ;EE
10272;WC967579281    ;TT
10273;DR97989995319  ;VV
10274;US248866959    ;LL
10275;CEP            ;JJ
10276;0213801487     ;DD
10277;SH08929085     ;UU
10278;WIV863625757   ;II
10279;CX796725043    ;OO
10280;CN504497930    ;BB
10281;FI990914193    ;BB
10282;97916492       ;DD
10283;ZWB71180230    ;GG
10284;RQ862243521    ;BB
10285;IV00937939572  ;WW
10286;UP14000918752  ;VV
10287;VR754203280    ;TT
10288;BO66712223042  ;VV
10289;BS764906994    ;TT
10290;98579782074    ;NN
10291;2965105846001  ;QQ
10292;698076075558917;SS
10293;VWK94740055    ;RR
10294;WT577695123    ;TT
10295;8827996706     ;DD
10296;CR93230419Z    ;RR
10297;LD020393202    ;TT
10298;BV499881590    ;BB
10299;MC66579013669  ;WW
10300;FI814920868    ;TT
10301;NX549533486    ;BB
10302;91574503(9     ;MM
10303;XR549547335    ;TT
10304;RV559705603    ;TT
10305;MTS01538375    ;GG
10306;72850088864    ;CC
10307;EN586109371    ;TT
10308;CN500749X      ;BB
10309;POS29516162    ;RR
10310;FXP866036460   ;II
10311;8804714383     ;DD
10312;JF878657689    ;TT
10313;OG042163497    ;BB
10314;XD91744215     ;YY
10315;43303833746516 ;QQ
10316;JYY            ;JJ
10317;HZ15487547414  ;VV
10318;WL219736361    ;TT
10319;ISG30535673    ;GG
10320;988066994031111;SS
10321;KU043738380    ;BB
10322;AF99322584904  ;VV
10323;01246132989    ;TT
10324;304899519667903;SS
10325;418840624439417;XX
10326;YX710142040    ;TT
10327;MQ919741533    ;TT
10328;SX089715610    ;TT
10329;HQU57910009    ;GG
10330;JF488441902    ;TT
10331;49611756       ;PP
10332;70730770832    ;CC
10333;RZ505673148    ;TT
10334;R531434960     ;JJ
10335;XN80772678696  ;VV
10336;63031014271    ;TT
10337;IX21450551678  ;VV
10338;75738677758    ;CC
10339;AG169575427    ;BB
10340;NQ59305143079  ;VV
10341;PL609717024    ;BB
10342;RE209521730    ;TT
10343;SHK35022744    ;RR
10344;AF579800171    ;LL
10345;GB095303542    ;TT
10346;HS789014001    ;TT
10347;M940894997     ;TT
10348;RTA03875985    ;RR
10349;PYUCTHIA       ;JJ
10350;RL293405546    ;OO
10351;2807072795     ;DD
10352;XD82977686269  ;VV
10353;KW468152920    ;LL
10354;ZK166070807    ;TT
10355;EA969884997    ;BB
10356;43540691348    ;CC
10357;49820789150    ;NN
10358;62616814184    ;CC
10359;8246381987     ;DD
10360;JF70803565295  ;VV
10361;FFI05089171    ;RR
10362;63069182*3     ;MM
10363;AV03701357480  ;WW
10364;HM253762308    ;TT
10365;BU599766525    ;TT
10366;EJ64193815353  ;VV
10367;MR812493602    ;TT
10368;72898985(250-40;PP
10369;XR29987131     ;AA
10370;RV45836072     ;AA
10371;VR206686374    ;TT
10372;XO955346333    ;TT
10373;LPB87807250    ;RR
10374;JVR31703988    ;GG
10375;EY69236402166  ;VV
10376;59357291262    ;TT
10377;BN847002614    ;TT
10378;ZO82691908679  ;VV
10379;NH837407228    ;BB
10380;QT15084857581  ;VV
10381;IBL56391842    ;RR
10382;FZ828213408    ;TT
10383;FA589834498    ;LL
10384;75017818724    ;CC
10385;61090137410    ;CC
10386;BEWKELMQ       ;JJ
10387;86206029827    ;QQ
10388;79592579253766 ;QQ
10389;DN501508250    ;BB
10390;IH901468505    ;BB
10391;GP832889472    ;OO
10392;FJ440606174    ;BB
10393;RP403705362    ;TT
10394;71306094580930 ;QQ
10395;VD458501002    ;TT
10396;IQX98687766    ;RR
10397;07376799843    ;TT
10398;OC305546621    ;TT
10399;UF001793262    ;BB
10400;OOD46560991    ;RR
10401;HZ088136500    ;TT
10402;89727781-1     ;MM
10403;012408218990286;XX
10404;KG21711069256  ;VV
10405;PK4736349622   ;ZZ
10406;FS444461652    ;TT
10407;84071124972    ;NN
10408;989585791347559;SS
10409;DQL16813129    ;RR
10410;WJ416679935    ;OO
10411;ZO548035244    ;BB
10412;KI46278183     ;FF
10413;96346879228    ;NN
10414;11302070DL5DQVA;XX
10415;UG214679247    ;TT
10416;VH675065740    ;BB
10417;LL46587004049  ;VV
10418;GH462783050    ;TT
10419;2514862632     ;DD
10420;1633852837     ;DD
10421;DC340463279    ;TT
10422;JRC43814198    ;GG
10423;83322835366132 ;QQ
10424;709438147      ;DD
10425;KW971236304    ;TT
10426;MS307710170    ;LL
10427;JU230908343    ;BB
10428;SVN28161675    ;RR
10429;"27615627""5     ";MM
10430;CE213436984    ;TT
10431;FP218052584    ;TT
10432;45896667374072 ;QQ
10433;YK93353657507  ;WW
10434;DM267677143    ;OO
10435;UN04672426     ;FF
10436;DRO80568762    ;RR
10437;HL73545395366  ;VV
10438;HR964617153    ;BB
10439;QXE61783700    ;RR
10440;00727472138624 ;SS
10441;XL647942324    ;TT
10442;WKF12988611    ;RR
10443;8759978717     ;DD
10444;DI474519808    ;LL
10445;76993127#3     ;MM
10446;MZ037152351    ;LL
10447;D381424768     ;JJ
10448;DL451388191    ;TT
10449;XY321806168    ;TT
10450;91040764111228 ;QQ
10451;84825820077    ;CC
10452;492287224120081;XX
10453;XHT89812836    ;GG
10454;SJ826625550    ;TT
10455;JC785569523    ;BB
10456;VY260991828    ;TT
10457;50025633AO2PQUG;XX
10458;04486517       ;PP
10459;6102939920     ;DD
10460;PI332437232    ;BB
10461;CT489810518    ;TT
10462;JHV78610416    ;RR
10463;JD965653875    ;TT
10464;XZ71600152427  ;VV
10465;924985551472278;XX
10466;EIW99161008    ;RR
10467;GQCNHSOV       ;JJ
10468;OX330221143    ;TT
10469;IV003372497    ;TT
10470;TEE52426605    ;RR
10471;98728393$8     ;MM
10472;CV340027804    ;TT
10473;783023816292262;XX
10474;UX929528619    ;TT
10475;MXX65217158    ;RR
10476;785644196196830;EE
10477;3812388474     ;DD
10478;MN53316026     ;YY
10479;LF60645842621  ;VV
10480;051788992740007;EE
10481;42463056451    ;CC
10482;MTS59265289    ;RR
10483;377765955282000;XX
10484;AM84760493     ;UU
10485;NVZ84870827    ;RR
10486;54166875       ;DD
10487;AS558460377    ;TT
10488;670543162962121;SS
10489;5422413592     ;DD
10490;"23860211""6     ";MM
10491;455619213679694;XX
10492;GJN74683639    ;GG
10493;84639800654070 ;QQ
10494;VT874313827    ;TT
10495;QG256194910    ;LL
10496;TMI03404992    ;RR
10497;CN700098249    ;BB
10498;UX46841477     ;FF
10499;22871274218    ;CC
10500;JD8459655H     ;KK
10501;LX02655054290  ;VV
10502;YPH03177181    ;GG
10503;0324381297677  ;QQ
10504;PZ118233759    ;BB
10505;BX81287275026  ;WW
10506;706783622624776;XX
10507;QG02353632     ;UU
10508;KA016157178    ;TT
10509;TM730022336    ;LL
10510;PV086045952    ;TT
10511;62715906171    ;CC
10512;WB314588471    ;BB
10513;US205791653    ;BB
10514;544136546      ;NN
10515;NB23724150     ;YY
10516;VW581358104    ;TT
10517;XBHEKJQP       ;JJ
10518;HIIIXMME       ;JJ
10519;SZ55050009943  ;WW
10520;4201125068743  ;QQ
10521;YSM54942300    ;RR
10522;53177968CK49AV8;XX
10523;YH1264102Z     ;KK
10524;4658041        ;PP
10525;IM402564690    ;BB
10526;TQ539505782    ;TT
10527;67553141       ;DD
10528;HPB25557978    ;RR
10529;VK83245849     ;FF
10530;CC175532326    ;LL
10531;UC068090775    ;BB
10532;92826565631664 ;QQ
10533;2644810100     ;DD
10534;VEK38263720    ;RR
10535;ZX454924853    ;TT
10536;UTXCNHIA       ;JJ
10537;4082775100     ;DD
10538;KJ087094564    ;TT
10539;QA626423103    ;TT
10540;OS824784172    ;TT
10541;530556348033476;XX
10542;02619675&0     ;MM
10543;434630572173461;XX
10544;NF01924476796  ;VV
10545;53428587494    ;CC
10546;198264258141492;XX
10547;12029154216    ;CC
10548;25694715       ;DD
10549;3598088670290  ;QQ
10550;G978117827     ;JJ
10551;SL98822696328  ;WW
10552;04 992 208 242 ;NN
10553;8647226907     ;JJ
10554;FE918690393    ;TT
10555;GD304047777    ;TT
10556;LH106589996    ;TT
10557;625690443816961;XX
10558;53018031,2     ;MM
10559;8255548898     ;DD
10560;2096127209     ;DD
10561;UZ427852823    ;TT
10562;WB52764609904  ;WW
10563;YL167931227    ;TT
10564;276711354083   ;QQ
10565;QNC25029439    ;RR
10566;VA641914681    ;TT
10567;TJ676962245    ;BB
10568;14388857BG5HDH3;XX
10569;CL170839790    ;BB
10570;GW622403635    ;TT
10571;KJ400974957    ;OO
10572;ZW069789879    ;BB
10573;31196195097    ;NN
10574;80448446/2     ;MM
10575;LQ831897370    ;BB
10576;WK382941629    ;BB
10577;6327369302     ;DD
10578;973602417985176;XX
10579;XPTVTWYK       ;JJ
10580;KC604069334    ;TT
10581;68588357062    ;CC
10582;UF956875107    ;BB
10583;30828454168288 ;QQ
10584;LT205987728    ;TT
10585;35990543&3     ;MM
10586;1224309049     ;DD
10587;TR09928021     ;AA
10588;AU7294861208   ;ZZ
10589;IF225123222    ;TT
10590;DD350265500    ;BB
10591;K903806133     ;JJ
10592;73096899-1     ;MM
10593;J195337819     ;JJ
10594;49832817688706 ;QQ
10595;HQ67522429     ;FF
10596;AM428294214    ;TT
10597;WNJ98289104    ;RR
10598;HS35379042U    ;RR
10599;SG232269014    ;TT
10600;KL47116704554  ;VV
10601;77400037/7     ;MM
10602;05848946.L     ;MM
10603;BK711399662    ;OO
10604;JXGODJXW       ;JJ
10605;57018808RV6UNZB;XX
10606;E413964414     ;JJ
10607;RSU92300581    ;GG
10608;65 896 223 325 ;NN
10609;PW             ;JJ
10610;8364787854     ;DD
10611;MP092786440    ;TT
10612;PE124998558    ;BB
10613;QK186769962    ;TT
10614;68552707RS7CUUU;XX
10615;56857562GH4IQLJ;XX
10616;IW083441732    ;BB
10617;0332653614758  ;QQ
10618;89333043953497 ;QQ
10619;FV56646854047  ;VV
10620;09492170SY397E9;XX
10621;835037389103932;XX
10622;BQS386915604   ;II
10623;YX575358070    ;BB
10624;3828989837     ;DD
10625;79777803411843 ;QQ
10626;KI615128587    ;TT
10627;74353205620    ;TT
10628;Z529225367     ;JJ
10629;TU637621820    ;BB
10630;4060779305839  ;QQ
10631;2983623114     ;DD
10632;VQ620246452    ;BB
10633;B028861443     ;JJ
10634;NOQ23065737    ;RR
10635;"23351842""5     ";MM
10636;MA468418664    ;TT
10637;00619958/4     ;MM
10638;94689962034176 ;QQ
10639;5177634740     ;DD
10640;0269693433     ;TT
10641;XCGCISDM       ;JJ
10642;3964734        ;BB
10643;MEB51973546    ;RR
10644;R436023878     ;JJ
10645;WB66409427     ;YY
10646;ZV66536155036  ;VV
10647;PX186334419    ;BB
10648;416688740661800;XX
10649;CO72369558070  ;VV
10650;BG273337383    ;TT
10651;UA232447834    ;BB
10652;136094787908493;SS
10653;H876643212     ;JJ
10654;2152661813     ;DD
10655;AW83193821020  ;VV
10656;07431433505    ;YY
10657;86111571       ;PP
10658;QV23198672R    ;RR
10659;8810449        ;PP
10660;93358747202198 ;EE
10661;BV41055909577  ;VV
10662;82389487       ;DD
10663;YM85912398     ;FF
10664;ABN06990697    ;RR
10665;GV34233802665  ;VV
10666;PR619568928    ;LL
10667;29210687+4     ;MM
10668;Q417561143     ;JJ
10669;BR168392766    ;LL
10670;RW372514965    ;TT
10671;090341210      ;JJ
10672;AC047173978    ;TT
10673;S886551523     ;JJ
10674;479648760275792;XX
10675;"99262689""9     ";MM
10676;JVD223165164   ;II
10677;GS837819125    ;TT
10678;MA795214894    ;LL
10679;WH584148159    ;BB
10680;KZB102969254   ;II
10681;KD091833658    ;BB
10682;RI346134742    ;TT
10683;CW6828070U     ;KK
10684;CM08549284     ;YY
10685;FF65729876     ;AA
10686;NQ023756825    ;TT
10687;FT03771433394  ;VV
10688;83276157.4     ;MM
10689;52066741651102 ;VV
10690;WG557705396    ;TT
10691;995757587399017;XX
10692;ED7362203J     ;KK
10693;4117410121     ;DD
10694;0807851197413  ;QQ
10695;CDS            ;JJ
10696;DM01819966     ;UU
10697;EK35843414C    ;RR
10698;LB630101002    ;TT
10699;UA986796664    ;BB
10700;KK2945808350   ;ZZ
10701;351978434592327;XX
10702;YN9F99068U     ;KK
10703;9783847396     ;DD
10704;HW947034702    ;TT
10705;NGS50520622    ;GG
10706;AJ298655576    ;BB
10707;QV420501269    ;TT
10708;078348705203581;XX
10709;5355657743360  ;QQ
10710;19161138835    ;CC
10711;AO304457841    ;TT
10712;VH891769784    ;TT
10713;HEL29656722    ;RR
10714;AP739213532    ;TT
10715;XU361846904    ;LL
10716;18353045       ;DD
10717;JPM78595013    ;GG
10718;HT255096146    ;TT
10719;30421235939030 ;EE
10720;1907210647     ;DD
10721;80418465100083 ;QQ
10722;KQ64559616959  ;VV
10723;LEO807368332   ;II
10724;B9R            ;JJ
10725;PTR475160992   ;NN
10726;JUG21888087    ;RR
10727;EH020577603    ;TT
10728;IV06700457     ;FF
10729;OZ857938138    ;TT
10730;SV80809281160  ;VV
10731;ADX(X          ;JJ
10732;Q369635949     ;JJ
10733;09708669V      ;RR
10734;3943711358     ;TT
10735;36691380422023 ;QQ
10736;CN157469944    ;BB
10737;ML209029486    ;BB
10738;HQFSOZTN       ;JJ
10739;JIH15236133    ;RR
10740;OA38909087     ;AA
10741;FYP548449219   ;II
10742;GZ314210142    ;TT
10743;459837867808003;XX
10744;GS314602339    ;TT
10745;Y352525883     ;JJ
10746;SN454045609    ;BB
10747;8686199865440  ;QQ
10748;94719789192293 ;QQ
10749;28123287612    ;CC
10750;IV6038639912   ;FF
10751;XJ938198153    ;TT
10752;682375488624253;SS
10753;86411566297758 ;QQ
10754;OJ732047994    ;BB
10755;47939811770159 ;QQ
10756;GP64921821     ;FF
10757;VC926696721    ;TT
10758;53591698327    ;NN
10759;F400187107     ;JJ
10760;45323937482    ;NN
10761;11513579AO0JIAS;XX
10762;DO07035097     ;FF
10763;Q1G            ;JJ
10764;27410617264    ;TT
10765;EJ535687942    ;TT
10766;MI74593425059  ;VV
10767;MNJ49078348    ;RR
10768;UA32487456678  ;WW
10769;OC491619568    ;TT
10770;UE223212411    ;LL
10771;903055657263692;SS
10772;X276043946     ;JJ
10773;PT729195524    ;TT
10774;62298933NB3HI5N;XX
10775;16458507       ;PP
10776;QS20566724343  ;VV
10777;09162852726412 ;EE
10778;FW312478533    ;TT
10779;89318803751609 ;QQ
10780;44317127421    ;CC
10781;DT07182138     ;AA
10782;QV67031327903  ;VV
10783;UV914864306    ;TT
10784;XCD62122771    ;GG
10785;UM303344586    ;TT
10786;039687827121110;XX
10787;BP919551949    ;TT
10788;VPX73577957    ;RR
10789;FJ798913713    ;TT
10790;872535166133437;XX
10791;20780961/1     ;MM
10792;664660749634392;XX
10793;1690316826     ;TT
10794;MX340921947    ;BB
10795;JE553582394    ;TT
10796;SP747005740    ;BB
10797;65608343803    ;NN
10798;MQ044855776    ;LL
10799;DE853633042    ;BB
10800;RQ32797573246  ;WW
10801;3266357934     ;DD
10802;YS518177784    ;TT
10803;PJ72370915324  ;VV
10804;YM68192886580  ;VV
10805;WAO50713335    ;RR
10806;90758802441    ;TT
10807;ID126106849    ;BB
10808;TK06295083     ;FF
10809;B607159464     ;JJ
10810;MTS26267314    ;GG
10811;QV238618113    ;TT
10812;FK933156751    ;BB
10813;818172556439393;XX
10814;SG493244729    ;TT
10815;6860147902     ;DD
10816;SB21679560974  ;VV
10817;21276854063    ;YY
10818;GJ302835882    ;BB
10819;PCG86178561    ;RR
10820;9192994808374  ;QQ
10821;ZJ890315834    ;TT
10822;FW281036418    ;TT
10823;HS20465397242  ;VV
10824;35367758467367 ;QQ
10825;29434618924    ;NN
10826;TZJOEAYN       ;JJ
10827;UW158965226    ;TT
10828;828279509882160;XX
10829;XH58573147182  ;VV
10830;A571954211     ;JJ
10831;XI04628929103  ;VV
10832;YOC10558184    ;GG
10833;O026758571     ;JJ
10834;607858704807672;SS
10835;AE550435031    ;TT
10836;YLE93642359    ;RR
10837;HD637223990    ;BB
10838;684487150662034;XX
10839;FXT50744230    ;RR
10840;IQ60733284009  ;VV
10841;JOV31330576    ;RR
10842;GA55110847092  ;VV
10843;JW64282659192  ;VV
10844;6261870602210  ;QQ
10845;754958470197645;XX
10846;OLM17504844    ;RR
10847;HN309866000    ;TT
10848;FP349083658    ;TT
10849;NV384884135    ;TT
10850;RT311969088    ;BB
10851;4988151139497  ;QQ
10852;UT448778031    ;TT
10853;DP676732939    ;BB
10854;3423344175     ;DD
10855;1384543983     ;TT
10856;17163036(6     ;MM
10857;AU80049089G    ;HH
10858;71802417073    ;NN
10859;15736820709    ;DD
10860;785546340068932;XX
10861;IK132459553    ;TT
10862;UG694503025    ;LL
10863;33354175577897 ;QQ
10864;ZZ53139295121  ;VV
10865;UP902578219    ;BB
10866;366669837673889;XX
10867;GN960255628    ;BB
10868;5666099442     ;DD
10869;1868621971     ;DD
10870;821753871550338;XX
10871;QT90972695     ;AA
10872;YJ274182834    ;BB
10873;91453197167271 ;QQ
10874;GL86291664403  ;VV
10875;RL051131854    ;BB
10876;45831459227423 ;QQ
10877;FOK64489077    ;RR
10878;DD             ;JJ
10879;Y667627083     ;JJ
10880;VYP36744653    ;RR
10881;NB464243761    ;TT
10882;21967414350    ;CC
10883;48813752626092 ;QQ
10884;WO             ;JJ
10885;FLI290439040   ;II
10886;GVW72603373    ;GG
10887;545850038493   ;TT
10888;DZ703261555    ;BB
10889;YU664244280    ;TT
10890;18143990894    ;NN
10891;D777412688     ;JJ
10892;JY429930472    ;BB
10893;54261861161    ;CC
10894;NI919701694    ;LL
10895;B934932752     ;JJ
10896;06235576YL0XKVF;XX
10897;Y198794198     ;JJ
10898;75621032871501 ;QQ
10899;N254402466     ;JJ
10900;426659765694959;XX
10901;ZXD27657387    ;RR
10902;EM983976486    ;LL
10903;OF155293824    ;TT
10904;VQ055305944    ;TT
10905;UY780415483    ;TT
10906;05551409876    ;NN
10907;97068511905    ;CC
10908;PW1041947W     ;KK
10909;OLX63588210    ;RR
10910;731812976985556;XX
10911;7125255916     ;DD
10912;IZ75089814134  ;WW
10913;PC486230974    ;TT
10914;WV88389370     ;FF
10915;MG227101462    ;TT
10916;PB130418049    ;TT
10917;4240168655     ;DD
10918;DM258981404    ;BB
10919;DM298322167    ;TT
10920;8527736142307  ;QQ
10921;08796202318    ;NN
10922;77488256868    ;TT
10923;PI542213837    ;BB
10924;5624547909     ;DD
10925;VF227347033    ;TT
10926;KL59658668528  ;VV
10927;BP20284160494  ;VV
10928;UKE68471510    ;RR
10929;TT868916814    ;TT
10930;80544026652734 ;QQ
10931;04033510HX6BQ31;XX
10932;LN850330125    ;BB
10933;IW78659698903  ;VV
10934;94919046006    ;NN
10935;UK075670884    ;TT
10936;81400234MG8VI9I;XX
10937;30734021944    ;CC
10938;R311936517     ;JJ
10939;CA726029809    ;TT
10940;SM783910848    ;LL
10941;27631054886    ;TT
10942;TL697665838    ;TT
10943;5357698949044  ;QQ
10944;FL051451025    ;BB
10945;1779558909542  ;QQ
10946;KE845056767    ;LL
10947;201796985001191;XX
10948;MY76299511706  ;VV
10949;WC765582881    ;TT
10950;9398435849     ;DD
10951;2803628462     ;DD
10952;31424605430302 ;QQ
10953;MC646084301    ;TT
10954;XE221721754    ;LL
10955;LJ61562774030  ;WW
10956;SC42408084576  ;VV
10957;AD98668936910  ;WW
10958;JA94653407     ;UU
10959;KU70082716059  ;WW
10960;KY646035900    ;OO
10961;261946         ;DD
10962;SJ85366962179  ;VV
10963;6987046456     ;DD
10964;34 108 794 051 ;NN
10965;57852052653599 ;EE
10966;TH394211074    ;OO
10967;SJ777806263    ;TT
10968;JLV91664508    ;RR
10969;YM734935125    ;TT
10970;VS172797943    ;LL
10971;OZ556298302    ;TT
10972;X581443280     ;JJ
10973;TD415671516    ;TT
10974;18428479672404 ;QQ
10975;82545927'7     ;MM
10976;5190788243748  ;QQ
10977;27555783AB3P97N;XX
10978;SPDVNEBA       ;JJ
10979;FR388632484    ;TT
10980;SBQ20189492    ;RR
10981;EV01670998E    ;HH
10982;OJ57556139     ;AA
10983;HB820750962    ;TT
10984;6211937295381  ;QQ
10985;IW711024623    ;BB
